Ride_ID,Timestamp,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude,Distance_km,Duration_min,Fare,Payment_Method,User_ID,User_Age,User_Gender,Driver_ID,Driver_Rating,Vehicle_Type,Surge_Multiplier,Ride_Canceled
RIDE00018,2023-01-13 14:48:27,40.69608,-73.94028,40.78102,-73.71074,1.33,57.3,22.0,Cash,USER0168,58,Non-binary,DRIVER188,4.6,Luxury,1.2,Yes
RIDE00019,2023-01-12 07:54:14,40.64488,-74.19597,40.54164,-73.71331,17.43,36.7,23.03,Credit Card,USER0197,36,Female,DRIVER197,4.1,SUV,1.0,No
RIDE00020,2023-02-06 05:54:35,40.6839,-74.1397,40.71999,-74.0197,2.25,10.6,41.82,Credit Card,USER0157,31,Female,DRIVER164,4.6,Economy,1.2,Yes
RIDE00021,2023-03-26 06:56:55,40.57045,-73.85298,40.76301,-73.7486,20.92,30.4,44.45,Credit Card,USER0015,45,Female,DRIVER079,4.3,SUV,1.2,Yes
RIDE00022,2023-04-01 16:39:57,40.76018,-74.08553,40.73997,-73.78521,11.31,10.9,43.79,Wallet,USER0410,34,Non-binary,DRIVER197,3.8,SUV,1.5,Yes
RIDE00023,2023-07-16 12:43:50,40.86785,-73.79702,40.86099,-73.94151,15.33,11.1,8.44,Cash,USER0464,40,Male,DRIVER154,4.0,SUV,1.2,Yes
RIDE00024,2023-08-22 06:13:52,40.68595,-74.01622,40.89874,-74.11751,1.19,5.9,27.7,Cash,USER0291,65,Non-binary,DRIVER170,4.7,SUV,2.0,Yes
RIDE00025,2023-01-11 15:26:57,40.73699,-74.00864,40.66494,-73.95436,12.52,30.3,36.66,Wallet,USER0289,33,Male,DRIVER014,3.6,Luxury,2.0,Yes
RIDE00026,2023-08-06 23:05:32,40.5982,-73.76275,40.83046,-73.92216,7.77,19.7,37.97,Cash,USER0192,51,Female,DRIVER128,4.8,SUV,2.0,Yes
RIDE00027,2023-03-19 10:40:07,40.61157,-73.86143,40.59629,-73.88167,2.98,31.2,5.91,Cash,USER0440,18,Non-binary,DRIVER149,4.7,SUV,2.0,Yes
RIDE00028,2023-10-06 20:34:58,40.80019,-73.91835,40.65003,-74.10554,11.29,34.2,38.42,Cash,USER0036,59,Non-binary,DRIVER055,3.9,Luxury,1.5,Yes
RIDE00029,2023-09-10 12:11:25,40.76728,-74.11794,40.79783,-74.10843,15.82,24.4,29.38,Credit Card,USER0490,61,Female,DRIVER137,5.0,Economy,2.0,Yes
RIDE00030,2023-09-30 14:06:15,40.69772,-74.09347,40.68096,-74.11822,18.5,11.5,46.35,Cash,USER0089,34,Non-binary,DRIVER170,4.1,Economy,1.2,Yes
RIDE00031,2023-07-31 13:35:19,40.69502,-73.74005,40.50008,-74.14199,5.48,35.3,9.3,Credit Card,USER0097,36,Non-binary,DRIVER142,4.0,SUV,1.5,Yes
RIDE00032,2023-06-12 03:00:04,40.60334,-73.97881,40.61379,-73.95254,7.75,24.5,31.47,Wallet,USER0326,28,Male,DRIVER074,4.6,SUV,1.0,No
RIDE00033,2023-03-27 06:09:42,40.73846,-73.7517,40.55403,-73.70559,3.76,16.7,22.6,Credit Card,USER0318,22,Male,DRIVER200,4.6,Luxury,2.0,Yes
RIDE00034,2023-06-24 16:50:10,40.72232,-74.13842,40.50263,-73.97112,7.32,26.8,42.42,Cash,USER0256,21,Non-binary,DRIVER030,4.8,Economy,1.0,No
RIDE00035,2023-08-17 06:57:14,40.57642,-74.02423,40.58593,-73.84012,17.82,28.7,43.67,Wallet,USER0094,22,Non-binary,DRIVER061,3.6,Economy,1.0,Yes
RIDE00036,2023-04-19 22:38:09,40.66257,-73.80446,40.80861,-74.0252,16.99,23.4,40.31,Cash,USER0275,49,Female,DRIVER100,4.1,Economy,1.0,Yes
RIDE00037,2023-11-11 03:43:34,40.59613,-73.87769,40.82893,-74.05794,11.3,29.3,24.13,Credit Card,USER0112,40,Female,DRIVER144,3.8,Economy,1.2,Yes
RIDE00038,2023-12-04 16:46:14,40.78474,-73.8995,40.70451,-73.82503,12.37,25.3,38.46,Credit Card,USER0500,64,Male,DRIVER186,4.5,Luxury,1.5,Yes
RIDE00039,2023-01-03 11:57:11,40.5069,-74.05754,40.72864,-73.91838,19.79,7.7,18.6,Wallet,USER0177,21,Female,DRIVER085,4.0,Luxury,1.0,Yes
RIDE00040,2023-10-22 14:47:38,40.66176,-74.18659,40.68415,-74.0938,3.47,26.0,25.65,Cash,USER0050,57,Non-binary,DRIVER046,4.5,Economy,1.0,Yes
RIDE00041,2023-11-09 23:54:04,40.76558,-73.76209,40.606,-74.19794,18.53,56.0,9.49,Wallet,USER0447,45,Male,DRIVER140,3.9,Luxury,1.5,Yes
RIDE00042,2023-03-04 16:30:20,40.72139,-73.89654,40.59994,-74.10972,15.67,15.7,48.62,Credit Card,USER0350,23,Female,DRIVER168,4.9,SUV,1.5,No
RIDE00043,2023-09-29 22:48:47,40.89865,-74.00412,40.62012,-74.07692,5.53,15.4,30.93,Wallet,USER0468,61,Male,DRIVER052,4.9,Economy,2.0,Yes
RIDE00044,2023-06-14 22:01:25,40.64072,-73.8081,40.72763,-74.15285,21.52,14.7,21.95,Credit Card,USER0080,63,Non-binary,DRIVER004,3.5,SUV,1.0,No
RIDE00045,2023-05-13 15:31:24,40.62265,-74.08033,40.53088,-74.05786,16.09,20.2,24.33,Cash,USER0308,46,Male,DRIVER176,3.6,SUV,1.0,Yes
RIDE00046,2023-04-18 03:41:02,40.78851,-74.07946,40.69301,-74.139,4.57,38.4,15.0,Credit Card,USER0192,18,Non-binary,DRIVER110,4.1,Luxury,1.0,No
RIDE00047,2023-03-02 13:48:40,40.79715,-74.16449,40.85961,-73.73543,3.89,33.5,23.28,Cash,USER0294,65,Male,DRIVER021,4.1,Economy,1.0,No
RIDE00048,2023-03-25 23:23:52,40.77607,-74.19397,40.82781,-74.03823,10.63,11.0,17.54,Wallet,USER0091,61,Non-binary,DRIVER085,3.9,Luxury,2.0,No
RIDE00049,2023-10-24 18:10:00,40.79544,-74.04176,40.7569,-73.96988,7.57,7.7,17.8,Wallet,USER0457,23,Male,DRIVER166,3.9,Economy,2.0,Yes
RIDE00050,2023-05-11 20:57:59,40.73583,-73.78051,40.82334,-73.96007,5.61,18.7,36.63,Wallet,USER0226,38,Female,DRIVER063,4.4,Luxury,2.0,Yes
RIDE00051,2023-02-09 17:33:06,40.73872,-73.92682,40.81205,-74.06534,4.51,11.1,27.8,Cash,USER0362,55,Female,DRIVER123,4.7,Economy,2.0,Yes
RIDE00052,2023-02-06 20:52:17,40.83305,-73.96449,40.63376,-74.03529,1.42,11.3,22.21,Wallet,USER0434,41,Female,DRIVER006,4.3,Economy,1.2,No
RIDE00053,2023-05-28 07:49:04,40.64435,-74.1635,40.67372,-73.88882,5.79,54.2,49.69,Wallet,USER0451,62,Female,DRIVER026,4.9,SUV,1.2,No
RIDE00054,2023-02-07 19:08:29,40.78321,-74.1931,40.54822,-73.72629,21.74,36.6,37.74,Cash,USER0396,61,Female,DRIVER034,4.7,SUV,1.0,Yes
RIDE00055,2023-05-20 19:28:26,40.51821,-73.73871,40.79907,-73.74656,10.13,18.1,47.82,Wallet,USER0091,56,Non-binary,DRIVER192,4.6,Economy,1.2,Yes
RIDE00056,2023-11-26 03:29:58,40.61685,-74.00101,40.87146,-74.13534,13.6,34.3,39.32,Credit Card,USER0260,61,Female,DRIVER188,4.1,Economy,1.5,No
RIDE00057,2023-05-14 16:44:07,40.75515,-73.84369,40.75288,-73.79922,17.8,20.2,37.16,Credit Card,USER0077,22,Female,DRIVER067,4.3,Economy,2.0,Yes
RIDE00058,2023-08-23 11:37:26,40.54104,-73.98821,40.70975,-73.80093,24.52,53.5,25.35,Credit Card,USER0417,54,Non-binary,DRIVER044,4.3,SUV,1.0,No
RIDE00059,2023-04-13 18:54:34,40.61374,-73.87973,40.72597,-73.92642,6.32,43.5,31.0,Wallet,USER0420,34,Non-binary,DRIVER169,3.8,SUV,1.5,Yes
RIDE00060,2023-11-10 20:15:34,40.63628,-74.12366,40.77911,-74.15372,11.23,27.3,6.12,Wallet,USER0228,64,Female,DRIVER075,5.0,Economy,2.0,No
RIDE00061,2023-01-17 22:19:22,40.60099,-74.16049,40.76945,-74.07996,2.47,26.6,39.7,Wallet,USER0016,38,Female,DRIVER172,4.0,SUV,1.2,Yes
RIDE00062,2023-10-11 21:31:11,40.54563,-73.71284,40.88842,-74.00054,11.25,17.1,25.12,Cash,USER0319,46,Female,DRIVER066,5.0,SUV,2.0,Yes
RIDE00063,2023-06-28 23:43:01,40.6967,-74.03662,40.7301,-74.09589,2.24,50.3,26.46,Cash,USER0020,40,Non-binary,DRIVER107,4.2,SUV,1.5,Yes
RIDE00064,2023-07-28 22:52:46,40.77458,-73.81839,40.67277,-73.9988,3.64,43.0,9.9,Cash,USER0479,65,Female,DRIVER042,4.7,Luxury,1.2,Yes
RIDE00065,2023-02-18 04:44:25,40.82446,-73.87842,40.5592,-73.72278,9.73,32.2,18.98,Wallet,USER0276,48,Female,DRIVER110,3.6,SUV,2.0,Yes
RIDE00066,2023-12-25 12:23:44,40.53407,-73.98126,40.69034,-74.05073,23.63,14.4,11.47,Credit Card,USER0455,41,Non-binary,DRIVER053,4.5,Economy,1.0,Yes
RIDE00067,2023-05-28 12:34:24,40.72323,-74.08068,40.71926,-73.83206,18.08,16.2,33.35,Credit Card,USER0491,49,Non-binary,DRIVER187,3.6,Economy,1.2,No
RIDE00068,2023-01-31 05:39:55,40.73845,-73.73769,40.65941,-73.74813,6.93,40.0,8.76,Cash,USER0407,37,Non-binary,DRIVER042,4.5,Luxury,1.0,No
RIDE00069,2023-08-03 11:36:53,40.81028,-73.89385,40.77915,-74.02048,22.48,43.8,30.24,Cash,USER0482,49,Non-binary,DRIVER093,3.6,Economy,1.2,No
RIDE00070,2023-04-24 03:08:20,40.8634,-73.86696,40.69237,-74.01627,5.36,20.8,14.35,Credit Card,USER0062,38,Non-binary,DRIVER025,4.8,Luxury,1.0,No
RIDE00071,2023-11-19 14:13:19,40.73541,-74.11218,40.65813,-73.97728,1.01,5.2,47.39,Cash,USER0414,52,Non-binary,DRIVER196,3.9,Luxury,1.2,Yes
RIDE00072,2023-09-02 19:32:37,40.72745,-74.13139,40.72447,-74.06576,16.85,15.2,31.7,Cash,USER0479,65,Non-binary,DRIVER074,4.9,SUV,1.5,Yes
RIDE00073,2023-08-29 18:57:10,40.88404,-73.95179,40.7097,-74.15489,8.72,54.9,8.77,Cash,USER0160,30,Non-binary,DRIVER080,3.8,SUV,1.2,No
RIDE00074,2023-12-10 10:20:14,40.80509,-73.94139,40.6065,-74.01588,7.85,39.2,23.14,Credit Card,USER0479,32,Non-binary,DRIVER139,4.6,SUV,2.0,No
RIDE00075,2023-12-01 19:17:42,40.60586,-74.07038,40.7739,-73.88466,7.72,45.6,42.71,Wallet,USER0150,55,Male,DRIVER178,4.0,Economy,1.5,Yes
RIDE00076,2023-05-21 13:40:40,40.59595,-73.82511,40.54501,-73.94333,15.56,51.9,28.55,Wallet,USER0056,28,Female,DRIVER141,4.7,Economy,1.2,No
RIDE00077,2023-08-13 00:48:28,40.56261,-73.83353,40.64611,-73.86178,11.34,42.8,42.78,Cash,USER0179,20,Female,DRIVER164,3.9,SUV,2.0,Yes
RIDE00078,2023-03-16 23:19:56,40.77575,-73.75005,40.63781,-73.84318,7.05,14.4,39.23,Cash,USER0350,62,Male,DRIVER018,4.0,Economy,1.5,No
RIDE00079,2023-10-01 04:37:55,40.51306,-73.98534,40.80787,-73.93636,12.79,42.5,7.65,Wallet,USER0093,40,Non-binary,DRIVER020,4.6,Economy,2.0,Yes
RIDE00080,2023-01-28 19:01:28,40.61309,-74.06853,40.63989,-74.15801,9.02,14.2,27.2,Wallet,USER0303,44,Female,DRIVER040,4.1,SUV,1.0,No
RIDE00081,2023-01-18 08:40:30,40.52847,-73.88623,40.82112,-74.16041,3.68,23.3,23.53,Credit Card,USER0266,47,Female,DRIVER032,3.8,Luxury,2.0,Yes
RIDE00082,2023-09-14 04:48:39,40.60582,-73.94461,40.67619,-74.0498,17.05,30.0,38.32,Credit Card,USER0086,47,Non-binary,DRIVER001,3.7,Luxury,1.5,No
RIDE00083,2023-03-30 13:27:37,40.73592,-73.77032,40.5934,-73.85784,17.39,57.9,42.54,Credit Card,USER0461,38,Non-binary,DRIVER062,3.7,Economy,1.2,Yes
RIDE00084,2023-10-28 09:04:48,40.57913,-74.12135,40.5624,-74.07567,19.49,41.6,6.64,Wallet,USER0052,43,Non-binary,DRIVER017,3.6,Economy,1.5,No
RIDE00085,2023-04-23 14:36:39,40.58992,-73.75287,40.53433,-73.91573,4.13,28.5,36.0,Cash,USER0255,47,Non-binary,DRIVER200,4.4,SUV,1.5,No
RIDE00086,2023-01-31 12:31:01,40.60625,-74.14233,40.59722,-73.74135,9.65,6.1,31.94,Cash,USER0099,47,Male,DRIVER198,4.3,SUV,1.2,No
RIDE00087,2023-11-29 17:00:35,40.52386,-74.19872,40.55907,-73.94467,20.44,58.6,44.21,Cash,USER0309,46,Female,DRIVER195,4.6,Luxury,1.5,Yes
RIDE00088,2023-04-01 19:29:19,40.73802,-74.19386,40.61507,-73.96767,18.83,53.5,17.07,Cash,USER0080,27,Non-binary,DRIVER070,4.7,Economy,1.2,No
RIDE00089,2023-12-03 21:43:31,40.86848,-74.01801,40.82171,-73.79359,15.13,14.4,14.42,Credit Card,USER0314,27,Female,DRIVER046,4.3,SUV,1.0,Yes
RIDE00090,2023-02-09 08:35:22,40.68748,-74.11052,40.68848,-73.90722,15.51,46.8,30.31,Wallet,USER0472,65,Female,DRIVER030,4.4,Economy,1.2,Yes
RIDE00091,2023-05-28 21:39:54,40.661,-74.18232,40.79601,-74.19187,6.72,5.5,26.99,Credit Card,USER0173,42,Female,DRIVER196,3.8,Economy,1.5,Yes
RIDE00092,2023-04-18 18:18:25,40.71599,-73.84299,40.71857,-73.96856,7.62,24.4,27.49,Wallet,USER0481,44,Non-binary,DRIVER116,4.4,Luxury,1.5,No
RIDE00093,2023-06-26 08:04:32,40.73921,-74.08774,40.71952,-73.77855,15.02,31.1,48.18,Cash,USER0233,19,Non-binary,DRIVER087,4.4,Economy,1.5,No
RIDE00094,2023-09-04 06:51:38,40.79381,-73.74207,40.89692,-73.99187,3.09,5.1,15.61,Credit Card,USER0476,26,Male,DRIVER032,3.8,SUV,1.5,Yes
RIDE00095,2023-11-20 16:54:19,40.51035,-73.787,40.7673,-74.04303,3.55,53.0,25.76,Wallet,USER0338,38,Female,DRIVER129,3.8,Economy,1.0,Yes
RIDE00096,2023-05-22 03:26:29,40.76972,-74.1403,40.86242,-73.82132,16.11,31.0,26.73,Cash,USER0281,42,Female,DRIVER197,4.1,SUV,1.0,No
RIDE00097,2023-03-05 07:18:53,40.73485,-74.17366,40.60218,-73.79608,15.44,7.5,29.97,Credit Card,USER0426,58,Male,DRIVER200,4.0,Economy,2.0,Yes
RIDE00098,2023-05-24 14:33:40,40.8059,-73.94211,40.58028,-73.74094,1.98,6.0,38.29,Wallet,USER0200,27,Non-binary,DRIVER137,3.8,Economy,1.5,No
RIDE00099,2023-05-18 10:13:25,40.7305,-73.99954,40.60851,-74.09447,24.24,42.4,37.99,Cash,USER0402,43,Male,DRIVER120,4.8,Economy,1.5,No
RIDE00100,2023-03-23 23:37:34,40.57008,-73.76698,40.87807,-73.70891,22.22,21.0,46.46,Wallet,USER0230,41,Female,DRIVER131,4.8,Economy,1.5,No
RIDE00101,2023-09-18 17:06:24,40.67689,-74.04465,40.76415,-73.8633,20.62,17.6,24.16,Cash,USER0484,18,Female,DRIVER032,4.6,Economy,1.5,No
RIDE00102,2023-04-14 09:49:37,40.89878,-73.97163,40.86515,-74.19104,5.63,32.7,8.49,Cash,USER0060,45,Male,DRIVER124,4.9,SUV,2.0,No
RIDE00103,2023-09-30 17:01:16,40.8257,-74.0542,40.54316,-74.19335,11.7,46.5,10.73,Wallet,USER0343,60,Female,DRIVER172,4.9,SUV,1.5,Yes
RIDE00104,2023-12-30 09:20:00,40.688,-73.83021,40.85336,-73.96992,3.37,47.6,5.61,Cash,USER0284,29,Non-binary,DRIVER158,4.4,Luxury,1.2,Yes
RIDE00105,2023-09-23 19:10:42,40.62842,-74.01586,40.89192,-73.87114,23.6,10.5,28.4,Wallet,USER0034,27,Non-binary,DRIVER072,4.3,Luxury,1.2,No
RIDE00106,2023-09-09 20:32:51,40.56433,-73.70111,40.78388,-73.83704,15.86,49.2,10.47,Credit Card,USER0174,55,Female,DRIVER022,4.6,Luxury,1.0,No
RIDE00107,2023-01-28 12:56:00,40.69819,-73.83377,40.69386,-73.79343,8.24,23.5,13.88,Wallet,USER0127,29,Female,DRIVER092,4.0,SUV,1.0,No
RIDE00108,2023-08-25 10:10:07,40.66018,-73.80201,40.53521,-73.85467,12.38,32.0,44.14,Credit Card,USER0188,31,Female,DRIVER024,4.1,Economy,1.2,No
RIDE00109,2023-09-04 01:10:25,40.51468,-73.7338,40.88672,-73.86245,19.26,24.3,10.11,Wallet,USER0073,24,Non-binary,DRIVER091,4.2,Economy,1.2,Yes
RIDE00110,2023-03-08 04:29:02,40.60096,-73.92923,40.78499,-74.15618,13.81,35.0,44.85,Credit Card,USER0123,19,Female,DRIVER046,4.3,Economy,1.2,Yes
RIDE00111,2023-07-27 12:25:18,40.80902,-73.85327,40.86891,-74.1046,4.69,41.5,27.28,Wallet,USER0492,43,Non-binary,DRIVER100,4.1,SUV,2.0,No
RIDE00112,2023-10-11 17:38:57,40.82997,-74.03249,40.69597,-73.85198,4.07,18.9,33.18,Credit Card,USER0419,48,Non-binary,DRIVER049,4.3,SUV,1.5,Yes
RIDE00113,2023-04-06 01:01:53,40.84775,-74.01186,40.50735,-74.18659,11.04,30.2,28.61,Wallet,USER0252,27,Male,DRIVER140,4.8,SUV,2.0,Yes
RIDE00114,2023-03-05 17:11:17,40.52168,-74.04624,40.64215,-74.12742,18.08,50.5,11.29,Credit Card,USER0097,35,Non-binary,DRIVER065,4.8,Economy,1.0,No
RIDE00115,2023-06-29 17:53:16,40.74905,-73.70844,40.8984,-73.77896,22.4,21.6,44.34,Wallet,USER0407,39,Male,DRIVER186,3.5,Economy,2.0,No
RIDE00116,2023-05-28 11:33:06,40.67682,-73.71941,40.61035,-73.93071,19.22,23.4,23.82,Credit Card,USER0207,30,Non-binary,DRIVER005,3.8,Economy,2.0,Yes
RIDE00117,2023-04-15 07:00:35,40.60682,-74.12881,40.60307,-73.81514,21.31,33.5,5.42,Wallet,USER0022,19,Female,DRIVER159,4.7,Luxury,2.0,Yes
RIDE00118,2023-12-26 17:36:35,40.61521,-74.17805,40.89998,-73.98906,14.45,41.5,10.29,Cash,USER0184,49,Male,DRIVER197,5.0,Luxury,1.2,No
RIDE00119,2023-09-06 06:55:42,40.69388,-73.77725,40.87765,-73.74879,9.34,52.6,49.81,Wallet,USER0031,43,Non-binary,DRIVER023,3.5,Economy,1.2,Yes
RIDE00120,2023-09-25 01:21:30,40.75201,-73.75221,40.59023,-73.97737,9.78,51.4,37.4,Wallet,USER0470,28,Non-binary,DRIVER017,3.7,Economy,1.5,Yes
RIDE00121,2023-08-05 09:42:52,40.78391,-73.82605,40.65714,-74.19019,16.12,31.6,44.61,Credit Card,USER0472,37,Female,DRIVER042,4.7,Economy,1.2,Yes
RIDE00122,2023-03-27 17:35:15,40.50547,-73.94729,40.79196,-74.07869,3.82,19.8,17.2,Credit Card,USER0246,53,Non-binary,DRIVER038,3.7,Economy,2.0,Yes
RIDE00123,2023-09-23 19:38:47,40.58988,-74.00282,40.7712,-73.78527,11.47,33.6,19.51,Wallet,USER0416,35,Non-binary,DRIVER088,3.7,Economy,1.2,Yes
RIDE00124,2023-05-06 15:16:53,40.54538,-74.16886,40.77461,-74.03307,12.59,40.2,45.03,Cash,USER0432,32,Non-binary,DRIVER042,4.4,SUV,1.0,No
RIDE00125,2023-11-24 23:06:35,40.75908,-74.13465,40.72916,-73.77619,13.57,13.1,30.37,Cash,USER0466,30,Female,DRIVER134,4.9,SUV,1.2,No
RIDE00126,2023-10-26 11:26:55,40.87306,-73.77454,40.62495,-73.99216,23.86,27.6,12.47,Cash,USER0338,49,Male,DRIVER177,3.9,Economy,2.0,Yes
RIDE00127,2023-10-29 07:00:09,40.78216,-74.00352,40.67967,-73.91067,19.98,17.1,18.06,Cash,USER0363,56,Female,DRIVER137,4.1,Luxury,1.2,No
RIDE00128,2023-01-22 14:50:23,40.693,-74.03687,40.76099,-73.70049,5.01,59.7,35.83,Wallet,USER0387,64,Non-binary,DRIVER050,4.2,Economy,1.0,No
RIDE00129,2023-03-30 00:03:00,40.68271,-74.08319,40.77362,-74.00016,7.58,24.6,41.13,Credit Card,USER0430,49,Non-binary,DRIVER123,4.6,SUV,2.0,No
RIDE00130,2023-11-16 06:02:43,40.57624,-74.13194,40.55524,-73.83769,24.22,6.7,47.84,Wallet,USER0303,45,Male,DRIVER194,3.9,Luxury,1.5,Yes
RIDE00131,2023-01-13 11:46:24,40.79852,-74.14551,40.85946,-73.74746,7.95,36.8,21.71,Cash,USER0051,45,Male,DRIVER162,3.9,SUV,1.0,Yes
RIDE00132,2023-11-09 21:25:06,40.52792,-73.97522,40.67203,-74.08405,23.94,43.3,32.2,Credit Card,USER0435,28,Non-binary,DRIVER090,5.0,SUV,1.0,No
RIDE00133,2023-05-03 18:56:55,40.84176,-74.13963,40.80802,-74.19049,2.46,28.7,26.24,Credit Card,USER0267,49,Non-binary,DRIVER008,3.7,SUV,1.0,No
RIDE00134,2023-06-05 19:22:41,40.81509,-73.81483,40.72594,-73.92337,24.34,16.3,14.48,Wallet,USER0047,60,Female,DRIVER088,4.6,Luxury,2.0,Yes
RIDE00135,2023-04-14 06:01:58,40.50103,-73.96833,40.52713,-73.87585,5.56,9.9,19.86,Wallet,USER0340,21,Non-binary,DRIVER100,4.1,Economy,1.2,Yes
RIDE00136,2023-01-26 11:24:18,40.83499,-74.15479,40.78778,-74.14153,20.55,55.6,38.6,Cash,USER0336,40,Male,DRIVER194,3.5,Economy,1.0,Yes
RIDE00137,2023-03-23 03:35:16,40.76398,-74.04789,40.83581,-73.87691,12.88,25.8,49.83,Cash,USER0165,24,Male,DRIVER111,4.4,SUV,1.5,No
RIDE00138,2023-12-21 18:12:52,40.67862,-73.89835,40.51179,-73.98188,13.78,10.9,46.75,Wallet,USER0467,22,Non-binary,DRIVER027,3.8,SUV,1.5,Yes
RIDE00139,2023-08-09 14:34:42,40.63298,-73.77171,40.88916,-73.8369,13.32,20.1,12.39,Wallet,USER0270,38,Non-binary,DRIVER132,4.1,SUV,1.2,Yes
RIDE00140,2023-12-07 09:27:28,40.65088,-73.84442,40.62134,-73.98094,2.8,39.5,37.18,Wallet,USER0289,63,Female,DRIVER199,4.7,Economy,1.0,Yes
RIDE00141,2023-10-06 18:03:32,40.84784,-74.00188,40.82868,-73.90617,11.51,35.0,26.32,Cash,USER0295,48,Male,DRIVER104,3.7,Economy,2.0,Yes
RIDE00142,2023-05-03 15:58:46,40.59552,-74.05058,40.79534,-73.73913,13.22,55.2,19.3,Credit Card,USER0360,56,Non-binary,DRIVER055,3.6,Luxury,1.2,No
RIDE00143,2023-03-24 00:41:07,40.84241,-74.11307,40.57517,-73.8424,14.5,59.3,13.07,Cash,USER0273,36,Female,DRIVER043,4.0,SUV,1.5,No
RIDE00144,2023-09-12 16:30:10,40.62727,-73.7727,40.51048,-73.75841,10.37,53.2,26.17,Wallet,USER0268,27,Female,DRIVER049,3.6,Economy,1.2,Yes
RIDE00145,2023-07-13 13:56:41,40.86537,-73.92494,40.74678,-74.00481,15.57,14.6,49.7,Cash,USER0202,33,Male,DRIVER159,3.7,Luxury,1.5,No
RIDE00146,2023-06-03 01:01:07,40.89537,-74.14905,40.74494,-73.7294,5.97,55.1,5.25,Credit Card,USER0388,51,Female,DRIVER164,4.3,Luxury,1.2,No
RIDE00147,2023-12-10 20:48:13,40.76081,-74.13927,40.59236,-74.01987,1.09,24.2,36.57,Wallet,USER0280,49,Female,DRIVER124,4.7,Luxury,1.5,Yes
RIDE00148,2023-12-22 13:23:56,40.88593,-73.80952,40.53179,-73.71453,14.73,23.2,13.97,Cash,USER0330,31,Non-binary,DRIVER199,3.9,Economy,1.2,No
